CD_GEOCODU,NM_UF,POP_2013,CHIKV_2013,INC_2013,POP_2014,CHIKV_2014,INC_2014,POP_2015,CHIKV_2015,INC_2015,POP_2016,CHIKV_2016,INC_2016,POP_2017,CHIKV_2017,INC_2017,POP_2018,CHIKV_2018,INC_2018,POP_2019,CHIKV_2019,INC_2019,POP_2020,CHIKV_2020,INC_2020,POP_2021,CHIKV_2021,INC_2021,POP_2022,CHIKV_2022,INC_2022
12,Acre,776463,0,0.00,790101,1,0.13,803513,7,0.87,816687,99,12.12,829619,51,6.15,869265,122,14.03,881935,6,0.68,894470,88,9.84,906876,281,30.99,906876,28,3.09
27,Alagoas,3300935,0,0.00,3321730,0,0.00,3340932,643,19.25,3358963,2547,75.83,3375823,233,6.90,3322820,548,16.49,3337357,1127,33.77,3351543,251,7.49,3365351,700,20.80,3365351,557,16.55
16,Amapá,734996,0,0.00,750912,91,12.12,766679,119,15.52,782295,203,25.95,797722,264,33.09,829494,212,25.56,845731,7,0.83,861773,27,3.13,877613,128,14.59,877613,56,6.38
13,Amazonas,3807921,0,0.00,3873743,7,0.18,3938336,54,1.37,4001667,213,5.32,4063614,185,4.55,4080611,9,0.22,4144597,11,0.27,4207714,37,0.88,4269995,256,6.00,4269995,204,4.78
29,Bahia,15044137,1,0.01,15126371,20,0.13,15203934,47,0.31,15276566,31,0.20,15344447,165,1.08,14812617,690,4.66,14873064,3885,26.12,14930634,12390,82.98,14985284,6066,40.48,14985284,5828,38.89
23,Ceará,8778576,0,0.00,8842791,22,0.25,8904459,23,0.26,8963663,11474,128.01,9020460,21486,238.19,9075649,966,10.64,9132078,978,10.71,9187103,987,10.74,9240580,1068,11.56,9240580,8413,91.04
53,Distrito Federal,2789761,0,0.00,2852372,0,0.00,2914830,0,0.00,2977216,8,0.27,3039444,19,0.63,2974703,3,0.10,3015268,7,0.23,3055149,4,0.13,3094325,51,1.65,3094325,156,5.04
32,Espírito Santo,3839366,0,0.00,3885049,0,0.00,3929911,4,0.10,3973697,113,2.84,4016356,606,15.09,3972388,346,8.71,4018650,919,22.87,4064052,3426,84.30,4108508,1139,27.72,4108508,482,11.73
52,Goiás,6434048,0,0.00,6523222,9,0.14,6610681,39,0.59,6695855,73,1.09,6778772,80,1.18,6921161,22,0.32,7018354,11,0.16,7113540,12,0.17,7206589,403,5.59,7206589,1704,23.65
21,Maranhão,6794301,0,0.00,6850884,0,0.00,6904241,80,1.16,6954036,2078,29.88,7000229,1053,15.04,7035055,251,3.57,7075181,213,3.01,7114598,118,1.66,7153262,117,1.64,7153262,358,5.00
