NM_MUN,CD_MUN,POP_2015,CHIKV_2015,INC_2015,POP_2016,CHIKV_2016,INC_2016,POP_2017,CHIKV_2017,INC_2017,POP_2018,CHIKV_2018,INC_2018,POP_2019,CHIKV_2019,INC_2019,POP_2020,CHIKV_2020,INC_2020,POP_2021,CHIKV_2021,INC_2021,POP_2022,CHIKV_2022,INC_2022
Abaiara,2300101,11357,0,0,11483,0,0,11605,2,17.23,11663,0,0,11737,0,0,11853,0,0,11965,0,0,11965,224,1872.13
Acarape,2300150,16288,0,0,16418,28,170.54,16543,59,356.65,15399,1,6.49,14929,1,6.7,15036,0,0,15140,0,0,15140,3,19.82
Acaraú,2300200,61210,0,0,61715,3,4.86,62199,72,115.76,62557,1,1.6,62641,4,6.39,63104,3,4.75,63556,6,9.44,63556,1,1.57
Acopiara,2300309,53135,0,0,53358,44,82.46,53572,489,912.79,53931,3,5.56,54270,0,0,54481,4,7.34,54687,1,1.83,54687,23,42.06
Aiuaba,2300408,16997,0,0,17098,4,23.39,17194,5,29.08,17303,1,5.78,17399,0,0,17493,0,0,17584,1,5.69,17584,1,5.69
Alcântaras,2300507,11321,0,0,11391,6,52.67,11459,42,366.52,11529,0,0,11714,2,17.07,11781,1,8.49,11846,2,16.88,11846,2,16.88
Altaneira,2300606,7344,0,0,7413,0,0,7479,0,0,7521,0,0,7586,0,0,7650,0,0,7712,0,0,7712,0,0.00
Alto Santo,2300705,16876,0,0,16927,1,5.91,16976,1,5.89,17096,0,0,17146,0,0,17196,2,11.63,16077,2,12.44,16077,0,0.00
Amontada,2300754,42098,0,0,42508,1,2.35,42901,28,65.27,43131,1,2.32,43452,0,0,43829,1,2.28,44195,0,0,44195,3,6.79
Antonina do Norte,2300804,7227,0,0,7253,1,13.79,7278,0,0,7328,0,0,7353,0,0,7378,0,0,7402,0,0,7402,0,0.00
Apuiarés,2300903,14565,0,0,14644,54,368.75,14719,30,203.82,14814,1,6.75,14600,2,13.7,14672,2,13.63,14742,1,6.78,14742,4,27.13
Aquiraz,2301000,77717,0,0,78438,60,76.49,79128,451,569.96,79563,3,3.77,80271,1,1.25,80935,1,1.24,81581,5,6.13,81581,26,31.87
Aracati,2301109,72727,2,2.75,73188,126,172.16,73629,1816,2466.42,74084,11,14.85,74547,21,28.17,74975,51,68.02,75392,5,6.63,75392,24,31.83
Aracoiaba,2301208,26134,0,0,26203,53,202.27,26269,348,1324.76,26437,7,26.48,26469,4,15.11,26535,5,18.84,26600,2,7.52,26600,5,18.80
Ararendá,2301257,10775,0,0,10800,10,92.59,10823,1,9.24,10901,0,0,10935,0,0,10959,0,0,10983,0,0,10983,0,0.00
Araripe,2301307,21289,0,0,21345,36,168.66,21398,1,4.67,21550,0,0,21600,0,0,21654,0,0,21707,0,0,21707,23,105.96
Aratuba,2301406,11358,0,0,11300,11,97.35,11244,80,711.49,11346,1,8.81,11847,2,16.88,11802,0,0,11759,1,8.5,11759,11,93.55
Arneiroz,2301505,7771,0,0,7774,0,0,7777,1,12.86,7836,0,0,7840,0,0,7844,0,0,7848,0,0,7848,0,0.00
Assaré,2301604,23126,0,0,23191,443,1910.22,23254,0,0,23417,0,0,23417,0,0,23478,0,0,23537,0,0,23537,2,8.50
Aurora,2301703,24602,0,0,24548,0,0,24496,1,4.08,24699,0,0,24654,0,0,24610,0,0,24567,0,0,24567,36,146.54
Baixio,2301802,6198,0,0,6214,8,128.74,6228,2,32.11,6272,0,0,6288,0,0,6303,0,0,6318,0,0,6318,2,31.66
Banabuiú,2301851,17906,0,0,17968,13,72.35,18027,5,27.74,18151,0,0,18197,1,5.5,18256,0,0,18313,1,5.46,18313,1,5.46
Barbalha,2301901,58855,0,0,59343,75,126.38,59811,35,58.52,60155,4,6.65,60781,3,4.94,61228,11,17.97,61662,64,103.79,61662,1854,3006.71
Barreira,2301950,20687,0,0,20835,164,787.14,20978,176,838.97,22362,0,0,22425,0,0,22573,0,0,22715,4,17.61,22715,11,48.43
Barro,2302008,22279,0,0,22361,7,31.3,22440,0,0,22593,0,0,22680,0,0,22758,0,0,22834,0,0,22834,85,372.25
Barroquinha,2302057,14828,0,0,14854,1,6.73,14880,32,215.05,14989,0,0,15017,0,0,15044,0,0,15069,0,0,15069,0,0.00
Baturité,2302107,34949,0,0,35154,45,128.01,35351,603,1705.75,35575,6,16.87,35750,2,5.59,35941,3,8.35,36127,3,8.3,36127,9,24.91
