groups,meso,Mes,CHIKV_cases,POP,inc_meso
1,Centro-Sul Cearense,15-Jan,0,393731,0.00
2,Centro-Sul Cearense,15-Feb,0,393731,0.00
3,Centro-Sul Cearense,15-Mar,0,393731,0.00
4,Centro-Sul Cearense,15-Apr,1,393731,0.25
5,Centro-Sul Cearense,15-May,0,393731,0.00
6,Centro-Sul Cearense,15-Jun,0,393731,0.00
7,Centro-Sul Cearense,15-Jul,0,393731,0.00
8,Centro-Sul Cearense,15-Aug,0,393731,0.00
9,Centro-Sul Cearense,15-Sep,0,393731,0.00
10,Centro-Sul Cearense,15-Oct,0,393731,0.00
11,Centro-Sul Cearense,15-Nov,0,393731,0.00
12,Centro-Sul Cearense,15-Dec,0,393731,0.00
13,Centro-Sul Cearense,16-Jan,0,393731,0.00
14,Centro-Sul Cearense,16-Feb,2,393731,0.51
15,Centro-Sul Cearense,16-Mar,6,393731,1.52
16,Centro-Sul Cearense,16-Apr,23,393731,5.84
17,Centro-Sul Cearense,16-May,42,393731,10.67
18,Centro-Sul Cearense,16-Jun,24,393731,6.10
19,Centro-Sul Cearense,16-Jul,20,393731,5.08
20,Centro-Sul Cearense,16-Aug,26,393731,6.60
21,Centro-Sul Cearense,16-Sep,7,393731,1.78
22,Centro-Sul Cearense,16-Oct,1,393731,0.25
23,Centro-Sul Cearense,16-Nov,2,393731,0.51
24,Centro-Sul Cearense,16-Dec,1,393731,0.25
25,Centro-Sul Cearense,17-Jan,1,393731,0.25
26,Centro-Sul Cearense,17-Feb,1,393731,0.25
27,Centro-Sul Cearense,17-Mar,8,393731,2.03
28,Centro-Sul Cearense,17-Apr,82,393731,20.83
29,Centro-Sul Cearense,17-May,539,393731,136.90
30,Centro-Sul Cearense,17-Jun,93,393731,23.62
31,Centro-Sul Cearense,17-Jul,10,393731,2.54
32,Centro-Sul Cearense,17-Aug,4,393731,1.02
33,Centro-Sul Cearense,17-Sep,0,393731,0.00
34,Centro-Sul Cearense,17-Oct,2,393731,0.51
35,Centro-Sul Cearense,17-Nov,3,393731,0.76
36,Centro-Sul Cearense,17-Dec,0,393731,0.00
37,Centro-Sul Cearense,18-Jan,0,393731,0.00
38,Centro-Sul Cearense,18-Feb,0,393731,0.00
39,Centro-Sul Cearense,18-Mar,1,393731,0.25
40,Centro-Sul Cearense,18-Apr,0,393731,0.00
41,Centro-Sul Cearense,18-May,1,393731,0.25
42,Centro-Sul Cearense,18-Jun,1,393731,0.25
43,Centro-Sul Cearense,18-Jul,10,393731,2.54
44,Centro-Sul Cearense,18-Aug,1,393731,0.25
45,Centro-Sul Cearense,18-Sep,1,393731,0.25
46,Centro-Sul Cearense,18-Oct,0,393731,0.00
47,Centro-Sul Cearense,18-Nov,0,393731,0.00
48,Centro-Sul Cearense,18-Dec,0,393731,0.00
49,Centro-Sul Cearense,19-Jan,1,393731,0.25
50,Centro-Sul Cearense,19-Feb,0,393731,0.00
51,Centro-Sul Cearense,19-Mar,0,393731,0.00
52,Centro-Sul Cearense,19-Apr,0,393731,0.00
53,Centro-Sul Cearense,19-May,0,393731,0.00
54,Centro-Sul Cearense,19-Jun,0,393731,0.00
55,Centro-Sul Cearense,19-Jul,0,393731,0.00
56,Centro-Sul Cearense,19-Aug,1,393731,0.25
57,Centro-Sul Cearense,19-Sep,0,393731,0.00
58,Centro-Sul Cearense,19-Oct,0,393731,0.00
59,Centro-Sul Cearense,19-Nov,0,393731,0.00
60,Centro-Sul Cearense,19-Dec,0,393731,0.00
61,Centro-Sul Cearense,20-Jan,0,393731,0.00
62,Centro-Sul Cearense,20-Feb,3,393731,0.76
63,Centro-Sul Cearense,20-Mar,7,393731,1.78
64,Centro-Sul Cearense,20-Apr,4,393731,1.02
65,Centro-Sul Cearense,20-May,1,393731,0.25
66,Centro-Sul Cearense,20-Jun,0,393731,0.00
67,Centro-Sul Cearense,20-Jul,0,393731,0.00
68,Centro-Sul Cearense,20-Aug,1,393731,0.25
69,Centro-Sul Cearense,20-Sep,1,393731,0.25
70,Centro-Sul Cearense,20-Oct,0,393731,0.00
71,Centro-Sul Cearense,20-Nov,0,393731,0.00
72,Centro-Sul Cearense,20-Dec,0,393731,0.00
73,Centro-Sul Cearense,21-Jan,0,393731,0.00
74,Centro-Sul Cearense,21-Feb,0,393731,0.00
75,Centro-Sul Cearense,21-Mar,0,393731,0.00
76,Centro-Sul Cearense,21-Apr,2,393731,0.51
77,Centro-Sul Cearense,21-May,2,393731,0.51
78,Centro-Sul Cearense,21-Jun,2,393731,0.51
79,Centro-Sul Cearense,21-Jul,0,393731,0.00
80,Centro-Sul Cearense,21-Aug,3,393731,0.76
81,Centro-Sul Cearense,21-Sep,1,393731,0.25
82,Centro-Sul Cearense,21-Oct,1,393731,0.25
83,Centro-Sul Cearense,21-Nov,0,393731,0.00
84,Centro-Sul Cearense,21-Dec,0,393731,0.00
85,Centro-Sul Cearense,22-Jan,0,393731,0.00
86,Centro-Sul Cearense,22-Feb,8,393731,2.03
87,Centro-Sul Cearense,22-Mar,48,393731,12.19
88,Centro-Sul Cearense,22-Apr,144,393731,36.57
89,Centro-Sul Cearense,22-May,109,393731,27.68
1,Jaguaribe,15-Jan,0,564641,0.00
2,Jaguaribe,15-Feb,0,564641,0.00
3,Jaguaribe,15-Mar,1,564641,0.18
4,Jaguaribe,15-Apr,2,564641,0.35
5,Jaguaribe,15-May,0,564641,0.00
6,Jaguaribe,15-Jun,0,564641,0.00
7,Jaguaribe,15-Jul,0,564641,0.00
8,Jaguaribe,15-Aug,0,564641,0.00
9,Jaguaribe,15-Sep,0,564641,0.00
10,Jaguaribe,15-Oct,0,564641,0.00
11,Jaguaribe,15-Nov,0,564641,0.00
12,Jaguaribe,15-Dec,0,564641,0.00
13,Jaguaribe,16-Jan,1,564641,0.18
14,Jaguaribe,16-Feb,5,564641,0.89
15,Jaguaribe,16-Mar,56,564641,9.92
16,Jaguaribe,16-Apr,136,564641,24.09
17,Jaguaribe,16-May,154,564641,27.27
18,Jaguaribe,16-Jun,106,564641,18.77
19,Jaguaribe,16-Jul,38,564641,6.73
20,Jaguaribe,16-Aug,15,564641,2.66
21,Jaguaribe,16-Sep,1,564641,0.18
22,Jaguaribe,16-Oct,3,564641,0.53
23,Jaguaribe,16-Nov,1,564641,0.18
24,Jaguaribe,16-Dec,3,564641,0.53
25,Jaguaribe,17-Jan,7,564641,1.24
26,Jaguaribe,17-Feb,7,564641,1.24
27,Jaguaribe,17-Mar,98,564641,17.36
28,Jaguaribe,17-Apr,855,564641,151.42
29,Jaguaribe,17-May,1261,564641,223.33
30,Jaguaribe,17-Jun,859,564641,152.13
31,Jaguaribe,17-Jul,489,564641,86.60
32,Jaguaribe,17-Aug,308,564641,54.55
33,Jaguaribe,17-Sep,71,564641,12.57
34,Jaguaribe,17-Oct,39,564641,6.91
35,Jaguaribe,17-Nov,12,564641,2.13
36,Jaguaribe,17-Dec,2,564641,0.35
37,Jaguaribe,18-Jan,1,564641,0.18
