COD_MUN,NM_MUN,2016,2021,cases_2016,cases_2021,INC_2016,INC_2021,epidemic
12471,Santa Cruz da Baixa Verde,"12,439","12,708",140,1,1125.49,7.87,y_2016
03603,Camutanga,"8,472","8,592",67,0,790.84,0.00,y_2016
15706,Triunfo,"15,235","15,232",109,1,715.46,6.57,y_2016
05707,Floresta,"32,152","33,488",198,0,615.82,0.00,y_2016
06903,Iguaracy,"12,156","12,265",75,1,616.98,8.15,y_2016
07802,Itaquitinga,"16,806","17,056",86,1,511.72,5.86,y_2016
03108,Cachoeirinha,"20,082","20,618",100,0,497.96,0.00,y_2016
07406,Itacuruba,"4,807","5,013",21,0,436.86,0.00,y_2016
01102,Araripina,"83,287","85,301",365,4,438.24,4.69,y_2016
07109,Ingazeira,"4,549","4,537",18,0,395.69,0.00,y_2016
14303,Moreilândia,"11,240","11,269",44,0,391.46,0.00,y_2016
09006,Macaparana,"25,114","25,565",88,5,350.40,19.56,y_2016
03306,Calçado,"11,094","10,983",35,0,315.49,0.00,y_2016
00104,Afogados da Ingazeira,"36,866","37,546",113,3,306.52,7.99,y_2016
07653,Itambé,"36,299","36,495",99,2,272.73,5.48,y_2016
15300,Timbaúba,"53,328","52,587",189,47,354.41,89.38,y_2016
03926,Carnaubeira da Penha,"12,706","13,117",34,2,267.59,15.25,y_2016
11200,Poção,"11,266","11,308",28,0,248.54,0.00,y_2016
13305,São Joaquim do Monte,"21,215","21,439",51,0,240.40,0.00,y_2016
01805,Betânia,"12,589","12,811",33,3,262.13,23.42,y_2016
01904,Bezerros,"60,469","60,960",142,5,234.83,8.20,y_2016
15102,Terezinha,"7,089","7,227",15,0,211.60,0.00,y_2016
12802,Santa Terezinha,"11,682","11,914",22,0,188.32,0.00,y_2016
08255,Jucati,"11,269","11,545",21,0,186.35,0.00,y_2016
00708,Aliança,"38,261","38,408",76,5,198.64,13.02,y_2016
16209,Vertentes,"20,222","21,172",38,1,187.91,4.72,y_2016
12406,Sanharó,"25,521","27,308",48,2,188.08,7.32,y_2016
06002,Garanhuns,"137,810","141,347",252,5,182.86,3.54,y_2016
03207,Caetés,"28,326","29,065",47,0,165.93,0.00,y_2016
04908,Cumaru,"12,332","9,494",20,0,162.18,0.00,y_2016
13800,São Vicente Ferrer,"17,834","18,150",51,23,285.97,126.72,y_2016
13404,São José da Coroa Grande,"20,654","21,868",71,42,343.76,192.06,y_2016
08800,Lajedo,"39,570","40,883",55,0,138.99,0.00,y_2016
13206,São João,"22,518","23,002",31,0,137.67,0.00,y_2016
08750,Lagoa Grande,"25,030","26,090",33,0,131.84,0.00,y_2016
03454,Camaragibe,"155,228","159,945",468,280,301.49,175.06,y_2016
06200,Goiana,"78,940","80,345",187,95,236.89,118.24,y_2016
05004,Cupira,"23,909","24,237",39,14,163.12,57.76,y_2016
03405,Calumbi,"5,741","5,744",6,0,104.51,0.00,y_2016
06606,Ibimirim,"28,798","29,585",32,2,111.12,6.76,y_2016
00609,Alagoinha,"14,431","14,798",16,1,110.87,6.76,y_2016
08305,Jupi,"14,620","15,007",15,0,102.60,0.00,y_2016
07703,Itapetim,"13,708","13,492",13,0,94.84,0.00,y_2016
10905,Pesqueira,"66,524","68,067",64,2,96.21,2.94,y_2016
