NM_MUN,CHIKV_death,CHIKV_cases,CHIKV_CFR,DENV_death,DENV_cases,DENV_CFR
Abaiara,0,226,0,0,125,0
Acarape,0,92,0,0,25,0
Acaraú,0,90,0,0,298,0
Acopiara,1,563,1.78,0,55,0
Aiuaba,0,12,0,0,2,0
Alcântaras,0,55,0,0,845,0
Altaneira,0,0,0,0,0,0
Alto Santo,0,6,0,1,106,9.43
Amontada,0,34,0,0,59,0
Antonina do Norte,0,1,0,0,2,0
Apuiarés,0,94,0,0,38,0
Aquiraz,1,547,1.83,1,665,1.5
Aracati,4,2055,1.95,0,800,0
Aracoiaba,2,421,4.75,0,183,0
Ararendá,0,11,0,0,3,0
Araripe,0,60,0,0,4,0
Aratuba,0,106,0,0,496,0
Arneiroz,0,1,0,0,3,0
Assaré,0,445,0,1,72,13.89
Aurora,0,37,0,0,8,0
Baixio,0,12,0,0,95,0
Banabuiú,0,21,0,0,15,0
Barbalha,2,2048,0.98,1,659,1.52
Barreira,0,355,0,0,87,0
Barro,0,92,0,0,214,0
Barroquinha,0,33,0,0,212,0
Baturité,1,673,1.49,0,83,0
Beberibe,1,146,6.85,0,644,0
Bela Cruz,0,28,0,1,470,2.13
Boa Viagem,1,362,2.76,0,379,0
Brejo Santo,0,1967,0,0,1735,0
Camocim,0,261,0,0,212,0
Campos Sales,0,334,0,0,41,0
Canindé,0,255,0,1,294,3.4
Capistrano,0,623,0,0,269,0
Caridade,0,60,0,0,40,0
Cariré,0,105,0,0,190,0
Caririaçu,0,340,0,0,119,0
Cariús,1,19,52.63,0,4,0
Carnaubal,0,6,0,0,11,0
Cascavel,0,1415,0,1,919,1.09
Catarina,0,437,0,0,419,0
Catunda,0,16,0,0,51,0
Caucaia,6,889,6.75,0,589,0
Cedro,0,169,0,0,44,0
Chaval,0,24,0,0,75,0
Choró,0,30,0,0,19,0
Chorozinho,0,84,0,0,10,0
Coreaú,0,256,0,0,310,0
Crateús,1,996,1,0,37,0
Crato,0,449,0,0,52,0
Croatá,0,9,0,0,285,0
Cruz,0,22,0,0,55,0
Deputado Irapuan Pinheiro,0,6,0,0,6,0
Ereré,0,1,0,0,39,0
Eusébio,0,194,0,2,501,3.99
Farias Brito,0,101,0,0,6,0
Forquilha,0,56,0,0,166,0
Fortaleza,55,26993,2.04,33,15799,2.09
Fortim,0,236,0,2,234,8.55
Frecheirinha,0,61,0,0,85,0
General Sampaio,0,47,0,0,20,0
Graça,0,31,0,0,51,0
Granja,0,158,0,0,83,0
Granjeiro,0,98,0,0,112,0
Groaíras,0,16,0,0,227,0
Guaiúba,0,58,0,0,12,0
Guaraciaba do Norte,0,3,0,0,11,0
Guaramiranga,0,87,0,0,51,0
Hidrolândia,0,233,0,0,392,0
Horizonte,2,236,8.47,2,880,2.27
Ibaretama,0,93,0,0,16,0
Ibiapina,0,9,0,0,14,0
Ibicuitinga,0,120,0,0,39,0
Icapuí,0,387,0,0,265,0
Icó,0,210,0,0,967,0
Iguatu,0,598,0,1,382,2.62
