region,GoogleTrends,CHIKV_cases
Acre,31,683
Alagoas,49,6606
Amapá,32,1107
Amazonas,21,976
Bahia,92,29123
Ceará,87,45417
Distrito Federal,22,248
Espírito Santo,27,7035
Goiás,28,2353
Maranhão,37,4268
Mato Grosso,25,4799
Mato Grosso do Sul,25,1182
Minas Gerais,30,15223
Pará,28,10873
Paraíba,81,15956
Paraná,12,733
Pernambuco,100,24042
Piauí,55,6426
Rio de Janeiro,62,29644
Rio Grande do Norte,66,20172
Rio Grande do Sul,9,562
Rondônia,22,714
Roraima,43,1835
Santa Catarina,10,599
São Paulo,19,10085
Sergipe,68,8899
Tocantins,42,3985
