CD_MUN,NM_MUN,pop_2017,pop_2022,CHIKV_2017,CHIKV_2022,INC_2017,INC_2022,epidemic
00301,Aguiarnópolis,"6,460 ","7,049",53,4,820.43,56.75,y_2017
09302,Guaraí,"25,642 ","26,403",172,5,670.77,18.94,y_2017
22081,Wanderlândia,"11,677 ","11,783",74,0,633.72,0.00,y_2017
18402,Presidente Kennedy,"3,733 ","3,668",27,5,723.28,136.31,y_2017
06258,Crixás do Tocantins,"1,708 ","1,749",8,0,468.38,0.00,y_2017
05508,Colinas do Tocantins,"34,839 ","36,271",154,6,442.03,16.54,y_2017
16653,Pequizeiro,"5,453 ","5,546",18,0,330.09,0.00,y_2017
01002,Ananás,"9,749 ","9,435",33,1,338.50,10.60,y_2017
01101,Aparecida do Rio Negro,"4,726 ","4,901",13,1,275.07,20.40,y_2017
14880,Nova Olinda,"11,715 ","12,014",27,3,230.47,24.97,y_2017
02208,Araguatins,"35,216 ","36,573",61,2,173.22,5.47,y_2017
02158,Araguanã,"5,645 ","5,856",9,0,159.43,0.00,y_2017
14302,Nazaré,"4,060 ","3,772",7,1,172.41,26.51,y_2017
02109,Araguaína,"175,960 ","186,245",308,65,175.04,34.90,y_2017
06506,Darcinópolis,"5,988 ","6,250",6,0,100.20,0.00,y_2017
03800,Buriti do Tocantins,"11,135 ","11,644",11,0,98.79,0.00,y_2017
18659,Rio da Conceição,"2,061 ","2,211",2,0,97.04,0.00,y_2017
16703,Colméia,"8,409 ","8,078",10,3,118.92,37.14,y_2017
03883,Carmolândia,"2,555 ","2,627",2,0,78.28,0.00,y_2017
02554,Augustinópolis,"18,089 ","18,870",14,0,77.40,0.00,y_2017
06001,Couto Magalhães,"5,529 ","5,690",4,0,72.35,0.00,y_2017
20978,Talismã,"2,777 ","2,831",2,0,72.02,0.00,y_2017
13304,Miranorte,"13,426 ","13,551",15,6,111.72,44.28,y_2017
03008,Babaçulândia,"10,752 ","10,668",8,1,74.40,9.37,y_2017
12504,Marianópolis do Tocantins,"5,054 ","5,332",3,0,59.36,0.00,y_2017
03057,Bandeirantes do Tocantins,"3,500 ","3,631",2,0,57.14,0.00,y_2017
09807,Ipueiras,"1,955 ","2,088",1,0,51.15,0.00,y_2017
11803,Juarina,"2,229 ","2,174",1,0,44.86,0.00,y_2017
18808,Sampaio,"4,579 ","4,876",2,0,43.68,0.00,y_2017
13205,Miracema do Tocantins,"19,055 ","17,628",18,9,94.46,51.06,y_2017
19004,Santa Tereza do Tocantins,"2,825 ","2,928",1,0,35.40,0.00,y_2017
13957,Muricilândia,"3,507 ","3,623",1,0,28.51,0.00,y_2017
00400,Almas,"7,273 ","6,905",2,0,27.50,0.00,y_2017
21208,Tocantinópolis,"23,119 ","22,820",10,4,43.25,17.53,y_2017
03891,Carrasco Bonito,"4,055 ","4,165",1,0,24.66,0.00,y_2017
18501,Recursolândia,"4,230 ","4,389",1,0,23.64,0.00,y_2017
15101,Novo Acordo,"4,267 ","4,450",1,0,23.44,0.00,y_2017
20309,São Sebastião do Tocantins,"4,749 ","4,898",2,1,42.11,20.42,y_2017
17800,Ponte Alta do Bom Jesus,"4,645 ","4,586",1,0,21.53,0.00,y_2017
01309,Aragominas,"5,865 ","5,705",2,1,34.10,17.53,y_2017
20804,Sítio Novo do Tocantins,"9,192 ","8,965",1,0,10.88,0.00,y_2017
16109,Paraíso do Tocantins,"50,360 ","52,521",99,100,196.58,190.40,y_2017
16505,Pedro Afonso,"13,288 ","13,964",3,3,22.58,21.48,y_2017
18865,Santa Fé do Araguaia,"7,402 ","7,678",2,2,27.02,26.05,y_2017
03909,Caseara,"5,265 ","5,514",1,1,18.99,18.14,y_2017
00251,Abreulândia,"2,571 ","2,609",1,1,38.90,38.33,y_2017
17503,Pium,"7,536 ","7,830",1,1,13.27,12.77,y_2017
16604,Peixe,"11,591 ","11,996",1,1,8.63,8.34,y_2017
00350,Aliança do Tocantins,"5,527 ","5,303",0,0,0.00,0.00,none
00707,Alvorada,"8,516 ","8,381",0,0,0.00,0.00,none
01051,Angico,"3,423 ","3,475",0,0,0.00,0.00,none
02000,Araguaçu,"8,692 ","8,418",0,0,0.00,0.00,none
02307,Arapoema,"6,756 ","6,590",0,0,0.00,0.00,none
02406,Arraias,"10,727 ","10,502",0,0,0.00,0.00,none
02703,Aurora do Tocantins,"3,735 ","3,809",0,0,0.00,0.00,none
02901,Axixá do Tocantins,"9,776 ","9,817",0,0,0.00,0.00,none
03073,Barra do Ouro,"4,544 ","4,673",0,0,0.00,0.00,none
03206,Bernardo Sayão,"4,518 ","4,439",0,0,0.00,0.00,none
03305,Bom Jesus do Tocantins,"4,700 ","5,120",0,0,0.00,0.00,none
03701,Brejinho de Nazaré,"5,499 ","5,540",0,0,0.00,0.00,none
03826,Cachoeirinha,"2,276 ","2,293",0,0,0.00,0.00,none
03842,Campos Lindos,"9,795 ","10,505",0,0,0.00,0.00,none
04105,Centenário,"2,866 ","2,966",0,0,0.00,0.00,none
04600,Chapada de Areia,"1,407 ","1,415",0,0,0.00,0.00,none
06100,Cristalândia,"7,374 ","7,268",0,0,0.00,0.00,none
07306,Dueré,"4,727 ","4,686",0,0,0.00,0.00,none
07652,Figueirópolis,"5,352 ","5,222",0,0,0.00,0.00,none
08304,Goianorte,"5,153 ","5,136",0,0,0.00,0.00,none
10508,Itacajá,"7,456 ","7,471",0,0,0.00,0.00,none
10706,Itaguatins,"5,980 ","5,801",0,0,0.00,0.00,none
10904,Itapiratins,"3,772 ","3,814",0,0,0.00,0.00,none
11506,Jaú do Tocantins,"3,821 ","3,906",0,0,0.00,0.00,none
11951,Lagoa do Tocantins,"4,191 ","4,470",0,0,0.00,0.00,none
12405,Lizarda,"3,787 ","3,727",0,0,0.00,0.00,none
12801,Maurilândia do Tocantins,"3,409 ","3,470",0,0,0.00,0.00,none
13601,Monte do Carmo,"7,770 ","8,182",0,0,0.00,0.00,none
13700,Monte Santo do Tocantins,"2,264 ","2,311",0,0,0.00,0.00,none
13809,Palmeiras do Tocantins,"6,535 ","6,830",0,0,0.00,0.00,none
15002,Nova Rosalândia,"4,203 ","4,348",0,0,0.00,0.00,none
15259,Novo Jardim,"2,697 ","2,768",0,0,0.00,0.00,none
15754,Palmeirópolis,"7,687 ","7,694",0,0,0.00,0.00,none
16208,Paranã,"10,562 ","10,426",0,0,0.00,0.00,none
16307,Pau D'Arco,"4,853 ","4,885",0,0,0.00,0.00,none
17206,Piraquê,"3,044 ","3,038",0,0,0.00,0.00,none
18006,Porto Alegre do Tocantins,"3,102 ","3,200",0,0,0.00,0.00,none
18303,Praia Norte,"8,365 ","8,563",0,0,0.00,0.00,none
18881,Santa Maria do Tocantins,"3,356 ","3,537",0,0,0.00,0.00,none
20002,Santa Terezinha do Tocantins,"2,550 ","2,530",0,0,0.00,0.00,none
20101,São Bento do Tocantins,"5,231 ","5,457",0,0,0.00,0.00,none
20150,São Félix do Tocantins,"1,571 ","1,610",0,0,0.00,0.00,none
20259,São Salvador do Tocantins,"3,084 ","3,106",0,0,0.00,0.00,none
20499,São Valério,"4,111 ","3,848",0,0,0.00,0.00,none
20853,Sucupira,"1,941 ","2,007",0,0,0.00,0.00,none
21000,Palmas,"286,787 ","313,349",0,0,0.00,0.00,none
21257,Tupirama,"1,843 ","1,952",0,0,0.00,0.00,none
21307,Tupiratins,"2,574 ","2,785",0,0,0.00,0.00,none
22107,Xambioá,"11,683 ","11,500",1,1,8.56,8.70,y_2022
05102,Chapada da Natividade,"3,364 ","3,330",1,1,29.73,30.03,y_2022
18840,Sandolândia,"3,410 ","3,371",1,1,29.33,29.66,y_2022
11902,Lagoa da Confusão,"12,808 ","13,989",0,1,0.00,7.15,y_2022
09005,Goiatins,"12,973 ","13,169",0,1,0.00,7.59,y_2022
20200,São Miguel do Tocantins,"11,906 ","12,445",0,1,0.00,8.04,y_2022
09500,Gurupi,"85,523 ","88,428",5,14,5.85,15.83,y_2022
07702,Filadélfia,"8,893 ","8,892",0,1,0.00,11.25,y_2022
17909,Ponte Alta do Tocantins,"7,949 ","8,192",1,2,12.58,24.41,y_2022
01903,Araguacema,"7,003 ","7,223",0,1,0.00,13.84,y_2022
07207,Dois Irmãos do Tocantins,"7,286 ","7,173",0,1,0.00,13.94,y_2022
15705,Palmeirante,"5,859 ","6,234",1,2,17.07,32.08,y_2022
07405,Esperantina,"10,793 ","11,280",0,2,0.00,17.73,y_2022
