CD_MUN,NM_MUN,MESO,POP_MUN,period,IIP,IB,CHIKV_cases,CHIKV_inc,DENV_cases,DENV_inc
230010,Abaiara,Sul Cearense,11965,21-Jan-22,0,2.9,224,1872.13,3,25.07
230015,Acarape,Norte Cearense,15140,5-Feb-22,0,0,3,19.82,3,19.82
230020,Acaraú,Noroeste Cearense,63556,28-Jan-22,0,0,1,1.57,6,9.44
230030,Acopiara,Sertões Cearenses,54687,26-Jan-22,0.1,1.8,23,42.06,1,1.83
230040,Aiuaba,Sertões Cearenses,17584,14-Jan-22,0,0.3,1,5.69,0,0.00
230050,Alcântaras,Noroeste Cearense,11846,28-Jan-22,0.4,0,2,16.88,0,0.00
230060,Altaneira,Sul Cearense,7712,19-Jan-22,4.3,0,0,0.00,0,0.00
230070,Alto Santo,Jaguaribe,16077,28-Jan-22,0.8,0.6,0,0.00,0,0.00
230075,Amontada,Norte Cearense,44195,21-Jan-22,0,0.3,3,6.79,6,13.58
230080,Antonina do Norte,Centro-Sul Cearense,7402,28-Jan-22,0,0,0,0.00,0,0.00
230090,Apuiarés,Norte Cearense,14742,28-Jan-22,0,0,4,27.13,6,40.70
230100,Aquiraz,Metropolitana de Fortaleza,81581,4-Feb-22,1.1,0,26,31.87,12,14.71
230110,Aracati,Jaguaribe,75392,5-Feb-22,0.9,0.1,24,31.83,14,18.57
230120,Aracoiaba,Norte Cearense,26600,21-Jan-22,2.8,0,5,18.80,6,22.56
230125,Ararendá,Sertões Cearenses,10983,18-Jan-22,0.9,0.4,0,0.00,0,0.00
230130,Araripe,Sul Cearense,21707,19-Jan-22,7.7,4.3,23,105.96,0,0.00
230140,Aratuba,Norte Cearense,11759,13-Jan-22,3.8,0.8,11,93.55,314,2670.30
230150,Arneiroz,Sertões Cearenses,7848,4-Feb-22,0,0,0,0.00,0,0.00
230160,Assaré,Sul Cearense,23537,20-Jan-22,2.3,0,2,8.50,0,0.00
230170,Aurora,Sul Cearense,24567,26-Jan-22,0.3,0,36,146.54,0,0.00
230180,Baixio,Centro-Sul Cearense,6318,26-Jan-22,0.7,1.8,2,31.66,1,15.83
230185,Banabuiú,Sertões Cearenses,18313,24-Jan-22,0,1.1,1,5.46,2,10.92
230190,Barbalha,Sul Cearense,61662,28-Jan-22,2.4,2.8,1854,3006.71,46,74.60
230195,Barreira,Norte Cearense,22715,2-Feb-22,0.8,0.9,11,48.43,6,26.41
230200,Barro,Sul Cearense,22834,26-Jan-22,0,7.7,85,372.25,42,183.94
230205,Barroquinha,Noroeste Cearense,15069,3-Feb-22,0.2,4.6,0,0.00,1,6.64
230210,Baturité,Norte Cearense,36127,6-Jan-22,3.5,0,9,24.91,9,24.91
230220,Beberibe,Norte Cearense,54315,31-Jan-22,0.8,2.3,13,23.93,81,149.13
230230,Bela Cruz,Noroeste Cearense,32851,4-Feb-22,0.5,0.3,2,6.09,15,45.66
230240,Boa Viagem,Sertões Cearenses,54680,27-Jan-22,1.5,0.7,123,224.95,46,84.13
230250,Brejo Santo,Sul Cearense,50195,29-Jan-22,0,0,1428,2844.90,109,217.15
230260,Camocim,Noroeste Cearense,64147,28-Jan-22,0.9,2.4,69,107.57,28,43.65
230270,Campos Sales,Sul Cearense,27513,21-Jan-22,4.9,0.8,1,3.63,1,3.63
