CD_MUN,NM_MUN,pop_2022,IIP,IB,CHIKV_2022,INC_2022
15150,Novo Alegre,2332,0.9,3.2,127,5445.97
11100,Itaporã do Tocantins,2412,1.3,0.1,62,2570.48
7108,Divinópolis do Tocantins,6986,0.9,0,133,1903.81
18709,Rio dos Bois,2879,0,1.1,28,972.56
5557,Combinado,4870,0.8,0.9,34,698.15
3867,Cariri do Tocantins,4499,0.3,2.1,19,422.32
18204,Porto Nacional,53618,2.8,5.2,114,212.62
21109,Tocantínia,7688,0.4,0,16,208.12
16109,Paraíso do Tocantins,52521,8.3,0.7,100,190.4
18402,Presidente Kennedy,3668,6.9,4.8,5,136.31
18907,Santa Rosa do Tocantins,4864,3.2,2.4,6,123.36
15507,Oliveira de Fátima,1124,4.3,2.1,1,88.97
3107,Barrolândia,5669,0.6,0.9,5,88.2
301,Aguiarnópolis,7049,0.9,1.6,4,56.75
5607,Conceição do Tocantins,4070,1,9.9,2,49.14
20903,Taguatinga,16966,4,1.2,8,47.15
3602,Brasilândia do Tocantins,2221,0.5,2.1,1,45.02
13304,Miranorte,13551,2.3,2.2,6,44.28
18899,Santa Rita do Tocantins,2407,2.4,1.4,1,41.55
251,Abreulândia,2609,0.8,0.9,1,38.33
8254,Fortaleza do Tabocão,2615,1.2,3,1,38.24
16703,Colméia,8078,2.6,4.4,3,37.14
18451,Pugmil,2746,1.1,0.6,1,36.42
2109,Araguaína,186245,6.4,2.9,65,34.9
14203,Natividade,9256,2.1,2.2,3,32.41
15705,Palmeirante,6234,0.7,1.2,2,32.08
12009,Lajeado,3199,2.2,11.5,1,31.26
12454,Luzinópolis,3200,1.2,0.7,1,31.25
5102,Chapada da Natividade,3330,0,2.5,1,30.03
18840,Sandolândia,3371,0,6.9,1,29.66
7009,Dianópolis,22704,2.3,3.2,6,26.43
18865,Santa Fé do Araguaia,7678,0,1.1,2,26.05
14880,Nova Olinda,12014,4.1,0,3,24.97
17909,Ponte Alta do Tocantins,8192,0.9,0.9,2,24.41
17008,Pindorama do Tocantins,4414,3.4,2.9,1,22.66
8205,Formoso do Araguaia,18358,8.7,2.7,4,21.79
16505,Pedro Afonso,13964,0,2.2,3,21.48
18550,Riachinho,4723,1.5,2.2,1,21.17
20309,São Sebastião do Tocantins,4898,1.4,3.2,1,20.42
1101,Aparecida do Rio Negro,4901,1.8,2.8,1,20.4
9302,Guaraí,26403,2.1,1.9,5,18.94
20655,Silvanópolis,5452,2.3,6.7,1,18.34
3909,Caseara,5514,0.3,14.8,1,18.14
7405,Esperantina,11280,2.5,3.5,2,17.73
1309,Aragominas,5705,1.4,0.3,1,17.53
21208,Tocantinópolis,22820,1.6,5.3,4,17.53
5508,Colinas do Tocantins,36271,2.1,4.1,6,16.54
9500,Gurupi,88428,1.6,5.5,14,15.83
1903,Araguacema,7223,0.1,2.5,1,13.84
17503,Pium,7830,0,0.8,1,12.77
7702,Filadélfia,8892,0,0,1,11.25
1002,Ananás,9435,2.2,4.9,1,10.6
22107,Xambioá,11500,5.5,0.5,1,8.7
16604,Peixe,11996,2.3,1.2,1,8.34
20200,São Miguel do Tocantins,12445,2.7,0,1,8.04
9005,Goiatins,13169,3.1,1.6,1,7.59
11902,Lagoa da Confusão,13989,14.8,1.5,1,7.15
2208,Araguatins,36573,2.8,2.8,2,5.47
350,Aliança do Tocantins,5303,1.6,3.2,0,0
707,Alvorada,8381,3.2,2.2,0,0
1051,Angico,3475,0,7.6,0,0
2000,Araguaçu,8418,3.8,0,0,0
2406,Arraias,10502,0.3,12.3,0,0
2554,Augustinópolis,18870,2.1,2.1,0,0
2703,Aurora do Tocantins,3809,0,2.6,0,0
2901,Axixá do Tocantins,9817,0,0.8,0,0
3057,Bandeirantes do Tocantins,3631,4.4,1.9,0,0
3073,Barra do Ouro,4673,1.5,2.3,0,0
3305,Bom Jesus do Tocantins,5120,11.5,3.5,0,0
3701,Brejinho de Nazaré,5540,2.5,0,0,0
3800,Buriti do Tocantins,11644,2.8,11.3,0,0
3842,Campos Lindos,10505,11.9,3.1,0,0
3883,Carmolândia,2627,2.2,1.7,0,0
3891,Carrasco Bonito,4165,0,0,0,0
4105,Centenário,2966,2.2,2.3,0,0
6258,Crixás do Tocantins,1749,8.9,2.2,0,0
